Feature ENSEMBLE ID	Entrezgene	External Gene Name	Gene Biotype	External Gene Source	Transcript count	Description	K27M  vs WT day0 logFC	K27M  vs WT day0 Ci.L	K27M  vs WT day0 Ci.R	K27M  vs WT day0 p-value	 K27M  vs WT day0 Adj. p-value	K27M  vs WT day5 LogFC	 K27M  vs WT day5 Ci.L	K27M  vs WT day5 Ci.R	 K27M  vs WT day5  p-value	K27M  vs WT day5  adj p-value	WT day 5 vs WT day 0 logFC	WT day 5 vs WT day 0 CI.L	WT day 5 vs WT day 0 CI.R	WT day 5 vs WT day 0 p-value	WT day 5 vs WT day 0 Adj p-value	K27M day 5 vs K27M day 0 logFC	K27M day 5 vs K27M day 0 CI.L	K27M day 5 vs K27M day 0 CI.R	K27M day 5 vs K27M day 0 p-value	K27M day 5 vs K27M day 0 Adj p-value	
ENSG00000005379	9256	TSPOAP1	protein_coding	HGNC Symbol	11	TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]	0.17	-0.24	0.58	0.40	0.65	0.44	0.03	0.84	0.04	0.08	0.05	-0.42	0.53	0.82	0.85	0.32	-0.01	0.64	0.06	0.08	
ENSG00000005436	6936	GCFC2	protein_coding	HGNC Symbol	11	GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]	0.18	-0.04	0.39	0.11	0.31	0.10	-0.10	0.30	0.31	0.43	0.59	0.35	0.83	0.00	0.00	0.52	0.35	0.69	0.00	0.00	
ENSG00000005448	84058	WDR54	protein_coding	HGNC Symbol	13	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]	0.23	-0.06	0.52	0.11	0.32	-0.10	-0.37	0.18	0.47	0.59	0.99	0.67	1.32	0.00	0.00	0.66	0.43	0.90	0.00	0.00	
ENSG00000005469	54677	CROT	protein_coding	HGNC Symbol	7	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	-0.05	-0.38	0.28	0.77	0.90	-0.38	-0.63	-0.14	0.00	0.01	1.60	1.27	1.93	0.00	0.00	1.27	1.02	1.51	0.00	0.00	
ENSG00000005471	5244	ABCB4	protein_coding	HGNC Symbol	10	ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]	0.62	0.17	1.08	0.01	0.06	1.74	1.11	2.36	0.00	0.00	-1.60	-2.28	-0.91	0.00	0.00	-0.48	-0.85	-0.11	0.01	0.02	
ENSG00000005483	55904	KMT2E	protein_coding	HGNC Symbol	16	lysine methyltransferase 2E [Source:HGNC Symbol;Acc:HGNC:18541]	0.15	-0.12	0.42	0.26	0.52	-0.15	-0.42	0.12	0.27	0.39	0.50	0.19	0.80	0.00	0.01	0.20	-0.03	0.42	0.09	0.11	
ENSG00000005486	57414	RHBDD2	protein_coding	HGNC Symbol	9	rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]	0.04	-0.20	0.29	0.72	0.88	0.21	-0.02	0.44	0.07	0.14	0.47	0.20	0.74	0.00	0.00	0.64	0.44	0.83	0.00	0.00	
ENSG00000005513	30812	SOX8	protein_coding	HGNC Symbol	2	SRY-box 8 [Source:HGNC Symbol;Acc:HGNC:11203]	-2.25	-2.67	-1.84	0.00	0.00	-1.45	-1.86	-1.03	0.00	0.00	-0.31	-0.71	0.09	0.13	0.17	0.50	0.07	0.93	0.02	0.03	
ENSG00000005700	25998	IBTK	protein_coding	HGNC Symbol	10	inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]	-0.17	-0.36	0.03	0.09	0.28	-0.26	-0.46	-0.06	0.01	0.03	-0.17	-0.39	0.05	0.13	0.18	-0.26	-0.42	-0.09	0.00	0.01	
ENSG00000005801	7748	ZNF195	protein_coding	HGNC Symbol	30	zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]	-0.28	-0.45	-0.11	0.00	0.02	-0.35	-0.53	-0.17	0.00	0.00	-0.28	-0.48	-0.08	0.01	0.01	-0.35	-0.50	-0.20	0.00	0.00	
ENSG00000005810	23077	MYCBP2	protein_coding	HGNC Symbol	12	"MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:23386]"	0.33	0.11	0.54	0.00	0.03	0.57	0.35	0.79	0.00	0.00	-0.75	-0.99	-0.50	0.00	0.00	-0.50	-0.68	-0.32	0.00	0.00	
ENSG00000005812	26224	FBXL3	protein_coding	HGNC Symbol	6	F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]	0.16	-0.03	0.35	0.10	0.30	0.12	-0.05	0.30	0.16	0.26	0.80	0.59	1.01	0.00	0.00	0.76	0.61	0.91	0.00	0.00	
ENSG00000005882	5164	PDK2	protein_coding	HGNC Symbol	16	pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]	0.10	-0.14	0.34	0.41	0.66	-0.42	-0.63	-0.21	0.00	0.00	0.98	0.73	1.24	0.00	0.00	0.47	0.27	0.66	0.00	0.00	
ENSG00000005884	3675	ITGA3	protein_coding	HGNC Symbol	16	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	-0.54	-0.83	-0.26	0.00	0.01	-1.20	-1.54	-0.87	0.00	0.00	-0.90	-1.24	-0.56	0.00	0.00	-1.56	-1.84	-1.28	0.00	0.00	
ENSG00000005889	7543	ZFX	protein_coding	HGNC Symbol	11	"zinc finger protein, X-linked [Source:HGNC Symbol;Acc:HGNC:12869]"	0.03	-0.13	0.19	0.67	0.84	-0.10	-0.25	0.05	0.19	0.30	0.78	0.60	0.96	0.00	0.00	0.65	0.52	0.78	0.00	0.00	
ENSG00000005893	3920	LAMP2	protein_coding	HGNC Symbol	4	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	0.07	-0.25	0.40	0.64	0.83	0.22	-0.14	0.57	0.22	0.34	-0.81	-1.20	-0.42	0.00	0.00	-0.67	-0.95	-0.39	0.00	0.00	
ENSG00000005961	3674	ITGA2B	protein_coding	HGNC Symbol	10	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	-0.25	-0.63	0.13	0.19	0.43	-0.87	-1.45	-0.29	0.00	0.01	-1.60	-2.13	-1.07	0.00	0.00	-2.22	-2.67	-1.76	0.00	0.00	
ENSG00000006007	51573	GDE1	protein_coding	HGNC Symbol	5	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]	-0.03	-0.20	0.15	0.75	0.89	-0.07	-0.26	0.11	0.42	0.54	-0.32	-0.52	-0.11	0.00	0.01	-0.36	-0.51	-0.21	0.00	0.00	
ENSG00000006015	55049	REX1BD	protein_coding	HGNC Symbol	8	required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]	0.15	-0.06	0.36	0.15	0.38	-0.42	-0.63	-0.20	0.00	0.00	0.34	0.10	0.58	0.01	0.01	-0.23	-0.40	-0.05	0.01	0.02	
ENSG00000006016	9244	CRLF1	protein_coding	HGNC Symbol	5	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	-1.34	-1.63	-1.05	0.00	0.00	-3.00	-3.54	-2.45	0.00	0.00	-2.04	-2.42	-1.67	0.00	0.00	-3.70	-4.19	-3.21	0.00	0.00	
ENSG00000006025	114881	OSBPL7	protein_coding	HGNC Symbol	11	oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]	-0.25	-0.60	0.10	0.15	0.38	0.06	-0.27	0.38	0.71	0.79	0.29	-0.10	0.67	0.14	0.19	0.60	0.31	0.88	0.00	0.00	
ENSG00000006042	26022	TMEM98	protein_coding	HGNC Symbol	9	transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]	0.15	-0.11	0.40	0.24	0.50	0.11	-0.14	0.36	0.37	0.49	0.86	0.57	1.14	0.00	0.00	0.82	0.61	1.03	0.00	0.00	
ENSG00000006047	51087	YBX2	protein_coding	HGNC Symbol	7	Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]	0.12	-0.17	0.41	0.41	0.66	-0.49	-0.92	-0.06	0.03	0.06	-1.70	-2.11	-1.29	0.00	0.00	-2.31	-2.63	-1.98	0.00	0.00	
ENSG00000006062	9020	MAP3K14	protein_coding	HGNC Symbol	6	mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]	0.05	-0.31	0.42	0.77	0.90	0.89	0.57	1.22	0.00	0.00	0.30	-0.11	0.71	0.15	0.20	1.14	0.87	1.41	0.00	0.00	
ENSG00000006071	6833	ABCC8	protein_coding	HGNC Symbol	21	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	-0.45	-1.13	0.22	0.18	0.42	-0.29	-0.77	0.20	0.24	0.36	1.35	0.70	2.01	0.00	0.00	1.52	1.00	2.04	0.00	0.00	
ENSG00000006118	54972	TMEM132A	protein_coding	HGNC Symbol	14	transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]	-0.11	-0.38	0.16	0.40	0.65	0.05	-0.22	0.33	0.70	0.78	0.65	0.34	0.96	0.00	0.00	0.82	0.59	1.05	0.00	0.00	
ENSG00000006125	163	AP2B1	protein_coding	HGNC Symbol	22	adaptor related protein complex 2 beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:563]	-0.20	-0.48	0.08	0.16	0.39	-0.30	-0.58	-0.01	0.04	0.09	-0.03	-0.35	0.29	0.85	0.88	-0.13	-0.37	0.11	0.27	0.32	
ENSG00000006128	6863	TAC1	protein_coding	HGNC Symbol	5	tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]	0.29	-0.34	0.92	0.35	0.61	3.23	2.12	4.33	0.00	0.00	-3.27	-4.43	-2.11	0.00	0.00	-0.33	-0.86	0.20	0.21	0.26	
ENSG00000006194	10127	ZNF263	protein_coding	HGNC Symbol	8	zinc finger protein 263 [Source:HGNC Symbol;Acc:HGNC:13056]	-0.11	-0.29	0.06	0.20	0.45	-0.10	-0.28	0.08	0.28	0.40	0.09	-0.12	0.29	0.39	0.46	0.10	-0.05	0.25	0.17	0.21	
ENSG00000006210	6376	CX3CL1	protein_coding	HGNC Symbol	4	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]	0.45	-0.02	0.92	0.06	0.22	2.29	1.79	2.79	0.00	0.00	-0.65	-1.26	-0.04	0.04	0.06	1.19	0.86	1.51	0.00	0.00	
ENSG00000006282	64847	SPATA20	protein_coding	HGNC Symbol	28	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]	-0.26	-0.47	-0.06	0.01	0.08	-0.73	-0.94	-0.53	0.00	0.00	0.29	0.06	0.51	0.01	0.03	-0.19	-0.37	-0.01	0.04	0.06	
ENSG00000006283	8913	CACNA1G	protein_coding	HGNC Symbol	34	calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]	-0.70	-1.00	-0.39	0.00	0.00	-1.74	-2.05	-1.43	0.00	0.00	0.53	0.21	0.85	0.00	0.00	-0.51	-0.80	-0.21	0.00	0.00	
ENSG00000006327	51330	TNFRSF12A	protein_coding	HGNC Symbol	7	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	-0.38	-0.64	-0.11	0.01	0.05	0.78	0.48	1.08	0.00	0.00	-1.81	-2.13	-1.48	0.00	0.00	-0.65	-0.88	-0.42	0.00	0.00	
ENSG00000006432	4293	MAP3K9	protein_coding	HGNC Symbol	7	mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]	-0.06	-0.27	0.14	0.53	0.75	-0.38	-0.60	-0.17	0.00	0.00	-0.38	-0.62	-0.14	0.00	0.01	-0.70	-0.88	-0.52	0.00	0.00	
ENSG00000006451	5898	RALA	protein_coding	HGNC Symbol	5	RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]	0.09	-0.06	0.24	0.22	0.47	0.13	-0.03	0.29	0.11	0.19	-0.57	-0.75	-0.40	0.00	0.00	-0.54	-0.66	-0.41	0.00	0.00	
ENSG00000006453	55971	BAIAP2L1	protein_coding	HGNC Symbol	5	BAI1 associated protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]	0.14	-0.05	0.34	0.15	0.37	-0.84	-1.06	-0.61	0.00	0.00	-0.35	-0.58	-0.11	0.01	0.01	-1.33	-1.51	-1.14	0.00	0.00	
ENSG00000006459	80853	KDM7A	protein_coding	HGNC Symbol	3	lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]	-0.13	-0.35	0.10	0.26	0.52	0.29	0.04	0.54	0.02	0.06	-0.94	-1.21	-0.66	0.00	0.00	-0.52	-0.72	-0.32	0.00	0.00	
ENSG00000006468	2115	ETV1	protein_coding	HGNC Symbol	23	ETS variant 1 [Source:HGNC Symbol;Acc:HGNC:3490]	0.28	0.02	0.53	0.03	0.15	-0.51	-0.77	-0.25	0.00	0.00	0.35	0.06	0.65	0.02	0.03	-0.43	-0.65	-0.22	0.00	0.00	
ENSG00000006530	55750	AGK	protein_coding	HGNC Symbol	11	acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]	-0.01	-0.22	0.19	0.89	0.96	0.32	0.09	0.56	0.01	0.02	-0.65	-0.91	-0.40	0.00	0.00	-0.32	-0.50	-0.14	0.00	0.00	
ENSG00000006534	221	ALDH3B1	protein_coding	HGNC Symbol	10	aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]	-0.13	-0.59	0.33	0.57	0.78	-0.36	-0.82	0.10	0.12	0.21	0.14	-0.38	0.66	0.58	0.65	-0.09	-0.49	0.31	0.65	0.70	
ENSG00000006555	55001	TTC22	protein_coding	HGNC Symbol	5	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]	0.89	0.27	1.51	0.01	0.05	1.30	0.08	2.52	0.04	0.08	-3.55	-4.72	-2.37	0.00	0.00	-3.14	-3.85	-2.43	0.00	0.00	
ENSG00000006576	57157	PHTF2	protein_coding	HGNC Symbol	12	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]	0.22	0.06	0.37	0.01	0.06	0.04	-0.12	0.20	0.61	0.71	0.19	0.00	0.37	0.04	0.07	0.01	-0.12	0.14	0.86	0.88	
ENSG00000006606	10344	CCL26	protein_coding	HGNC Symbol	2	C-C motif chemokine ligand 26 [Source:HGNC Symbol;Acc:HGNC:10625]	-0.22	-0.86	0.42	0.49	0.72	0.06	-1.34	1.46	0.93	0.95	-5.17	-6.39	-3.94	0.00	0.00	-4.89	-5.82	-3.96	0.00	0.00	
ENSG00000006607	9855	FARP2	protein_coding	HGNC Symbol	23	"FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]"	0.02	-0.13	0.16	0.82	0.92	0.02	-0.12	0.17	0.77	0.84	0.36	0.19	0.52	0.00	0.00	0.36	0.24	0.48	0.00	0.00	
ENSG00000006611	10083	USH1C	protein_coding	HGNC Symbol	11	USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]	0.50	-0.11	1.11	0.10	0.30	0.45	-0.70	1.60	0.43	0.55	-2.72	-3.80	-1.64	0.00	0.00	-2.77	-3.50	-2.05	0.00	0.00	
ENSG00000006625	79017	GGCT	protein_coding	HGNC Symbol	8	gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705]	0.09	-0.09	0.26	0.32	0.58	-0.02	-0.20	0.16	0.83	0.88	-0.14	-0.35	0.06	0.17	0.22	-0.25	-0.40	-0.10	0.00	0.00	
ENSG00000006634	10926	DBF4	protein_coding	HGNC Symbol	8	DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]	0.05	-0.13	0.24	0.55	0.77	0.27	0.08	0.45	0.01	0.02	-0.08	-0.29	0.14	0.46	0.53	0.13	-0.02	0.29	0.08	0.11	
ENSG00000006652	3475	IFRD1	protein_coding	HGNC Symbol	17	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	0.00	-0.21	0.21	1.00	1.00	0.37	0.17	0.57	0.00	0.00	0.49	0.26	0.73	0.00	0.00	0.86	0.69	1.03	0.00	0.00	
ENSG00000006695	1352	COX10	protein_coding	HGNC Symbol	4	"COX10, heme A:farnesyltransferase cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:2260]"	-0.07	-0.21	0.07	0.31	0.57	0.01	-0.14	0.16	0.92	0.94	-0.36	-0.53	-0.20	0.00	0.00	-0.29	-0.41	-0.17	0.00	0.00	
ENSG00000006704	9569	GTF2IRD1	protein_coding	HGNC Symbol	7	GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]	-0.03	-0.22	0.17	0.79	0.91	-0.10	-0.30	0.11	0.36	0.48	-0.42	-0.65	-0.20	0.00	0.00	-0.49	-0.66	-0.33	0.00	0.00	
ENSG00000006712	54623	PAF1	protein_coding	HGNC Symbol	8	"PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]"	-0.05	-0.27	0.17	0.63	0.82	0.27	0.05	0.49	0.02	0.04	0.11	-0.14	0.36	0.36	0.43	0.44	0.25	0.62	0.00	0.00	
ENSG00000006715	27072	VPS41	protein_coding	HGNC Symbol	14	"VPS41, HOPS complex subunit [Source:HGNC Symbol;Acc:HGNC:12713]"	-0.05	-0.23	0.12	0.54	0.76	-0.26	-0.43	-0.08	0.01	0.02	0.68	0.48	0.89	0.00	0.00	0.48	0.34	0.63	0.00	0.00	
ENSG00000006740	9912	ARHGAP44	protein_coding	HGNC Symbol	12	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]	-0.05	-0.26	0.15	0.58	0.79	-0.36	-0.60	-0.13	0.00	0.01	-0.80	-1.05	-0.55	0.00	0.00	-1.11	-1.30	-0.92	0.00	0.00	
ENSG00000006744	60528	ELAC2	protein_coding	HGNC Symbol	21	elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]	0.05	-0.13	0.22	0.59	0.80	-0.05	-0.23	0.13	0.60	0.70	-0.36	-0.56	-0.16	0.00	0.00	-0.45	-0.60	-0.30	0.00	0.00	
ENSG00000006756	414	ARSD	protein_coding	HGNC Symbol	7	arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]	0.21	-0.12	0.54	0.20	0.44	-0.12	-0.40	0.15	0.36	0.49	0.98	0.63	1.33	0.00	0.00	0.65	0.40	0.90	0.00	0.00	
ENSG00000006757	8228	PNPLA4	protein_coding	HGNC Symbol	4	patatin like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24887]	0.54	0.24	0.84	0.00	0.01	-0.26	-0.52	0.00	0.05	0.10	1.02	0.69	1.34	0.00	0.00	0.22	-0.01	0.45	0.06	0.08	
ENSG00000006831	79602	ADIPOR2	protein_coding	HGNC Symbol	7	adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]	0.01	-0.14	0.16	0.92	0.97	0.08	-0.07	0.23	0.30	0.42	0.02	-0.15	0.19	0.81	0.84	0.09	-0.03	0.22	0.14	0.18	
ENSG00000006837	51265	CDKL3	protein_coding	HGNC Symbol	10	cyclin dependent kinase like 3 [Source:HGNC Symbol;Acc:HGNC:15483]	-0.01	-0.68	0.66	0.98	0.99	-0.80	-1.37	-0.24	0.01	0.02	1.08	0.39	1.77	0.00	0.01	0.28	-0.26	0.83	0.29	0.34	
ENSG00000007047	57787	MARK4	protein_coding	HGNC Symbol	11	microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]	-0.06	-0.30	0.19	0.63	0.82	0.02	-0.25	0.29	0.89	0.92	-0.73	-1.03	-0.44	0.00	0.00	-0.66	-0.87	-0.44	0.00	0.00	
ENSG00000007062	8842	PROM1	protein_coding	HGNC Symbol	20	prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]	-0.13	-0.36	0.10	0.27	0.53	1.68	1.39	1.97	0.00	0.00	-2.76	-3.08	-2.45	0.00	0.00	-0.96	-1.16	-0.76	0.00	0.00	
ENSG00000007080	115098	CCDC124	protein_coding	HGNC Symbol	4	coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]	-0.07	-0.26	0.11	0.43	0.68	0.01	-0.19	0.22	0.89	0.93	-0.64	-0.87	-0.42	0.00	0.00	-0.56	-0.72	-0.39	0.00	0.00	
ENSG00000007168	5048	PAFAH1B1	protein_coding	HGNC Symbol	13	platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]	-0.03	-0.17	0.11	0.68	0.85	0.00	-0.15	0.14	0.97	0.98	0.65	0.48	0.81	0.00	0.00	0.67	0.55	0.79	0.00	0.00	
ENSG00000007171	4843	NOS2	protein_coding	HGNC Symbol	2	nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]	0.29	-2.12	2.71	0.81	0.92	3.32	0.66	5.98	0.02	0.04	-0.93	-4.14	2.28	0.56	0.62	2.09	0.49	3.70	0.01	0.02	
ENSG00000007174	1770	DNAH9	protein_coding	HGNC Symbol	15	dynein axonemal heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:2953]	0.53	-0.19	1.25	0.14	0.37	-1.52	-1.89	-1.16	0.00	0.00	3.90	3.24	4.56	0.00	0.00	1.85	1.39	2.31	0.00	0.00	
ENSG00000007202	9703	KIAA0100	protein_coding	HGNC Symbol	16	KIAA0100 [Source:HGNC Symbol;Acc:HGNC:28960]	-0.06	-0.23	0.12	0.51	0.74	0.03	-0.15	0.21	0.70	0.79	-0.21	-0.41	-0.01	0.04	0.07	-0.12	-0.27	0.03	0.11	0.14	
ENSG00000007237	8522	GAS7	protein_coding	HGNC Symbol	19	growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]	-0.42	-0.77	-0.06	0.02	0.12	2.07	1.53	2.62	0.00	0.00	-2.64	-3.21	-2.08	0.00	0.00	-0.15	-0.47	0.17	0.34	0.39	
ENSG00000007255	79090	TRAPPC6A	protein_coding	HGNC Symbol	5	trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:HGNC:23069]	0.01	-0.29	0.31	0.94	0.98	-0.90	-1.21	-0.60	0.00	0.00	0.65	0.31	0.99	0.00	0.00	-0.27	-0.53	-0.01	0.04	0.06	
ENSG00000007264	4145	MATK	protein_coding	HGNC Symbol	15	megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]	-0.79	-1.13	-0.44	0.00	0.00	-2.65	-3.11	-2.19	0.00	0.00	-0.38	-0.77	0.01	0.05	0.08	-2.25	-2.68	-1.82	0.00	0.00	
ENSG00000007312	974	CD79B	protein_coding	HGNC Symbol	6	CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]	0.94	0.42	1.47	0.00	0.01	0.68	-0.13	1.49	0.09	0.17	-1.80	-2.62	-0.98	0.00	0.00	-2.06	-2.57	-1.55	0.00	0.00	
ENSG00000007314	6329	SCN4A	protein_coding	HGNC Symbol	3	sodium voltage-gated channel alpha subunit 4 [Source:HGNC Symbol;Acc:HGNC:10591]	0.45	0.17	0.73	0.00	0.03	0.95	0.43	1.46	0.00	0.00	-2.83	-3.32	-2.33	0.00	0.00	-2.33	-2.63	-2.02	0.00	0.00	
ENSG00000007341	54879	ST7L	protein_coding	HGNC Symbol	28	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:HGNC:18441]	0.26	-0.04	0.56	0.09	0.27	0.19	-0.07	0.45	0.15	0.24	0.76	0.43	1.09	0.00	0.00	0.69	0.46	0.92	0.00	0.00	
ENSG00000007350	8277	TKTL1	protein_coding	HGNC Symbol	8	transketolase like 1 [Source:HGNC Symbol;Acc:HGNC:11835]	-0.34	-1.79	1.12	0.64	0.82	0.12	-0.59	0.83	0.73	0.81	3.92	2.60	5.24	0.00	0.00	4.38	3.44	5.31	0.00	0.00	
ENSG00000007372	5080	PAX6	protein_coding	HGNC Symbol	82	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]	0.49	-2.37	3.35	0.73	0.88	-0.84	-1.97	0.29	0.14	0.23	4.82	2.25	7.38	0.00	0.00	3.48	1.79	5.18	0.00	0.00	
ENSG00000007376	113000	RPUSD1	protein_coding	HGNC Symbol	10	RNA pseudouridylate synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]	-0.18	-0.44	0.09	0.19	0.43	-0.22	-0.49	0.05	0.11	0.19	-0.03	-0.33	0.27	0.84	0.87	-0.08	-0.30	0.15	0.50	0.56	
ENSG00000007384	64285	RHBDF1	protein_coding	HGNC Symbol	11	rhomboid 5 homolog 1 [Source:HGNC Symbol;Acc:HGNC:20561]	-0.51	-0.78	-0.24	0.00	0.01	0.00	-0.31	0.31	0.99	0.99	-1.18	-1.51	-0.85	0.00	0.00	-0.67	-0.92	-0.43	0.00	0.00	
ENSG00000007392	55692	LUC7L	protein_coding	HGNC Symbol	21	LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]	-0.09	-0.28	0.09	0.31	0.57	-0.12	-0.30	0.07	0.21	0.32	0.30	0.09	0.52	0.01	0.01	0.28	0.13	0.43	0.00	0.00	
ENSG00000007402	9254	CACNA2D2	protein_coding	HGNC Symbol	8	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]	-0.06	-0.37	0.25	0.69	0.86	-0.82	-1.15	-0.49	0.00	0.00	-0.04	-0.39	0.32	0.83	0.87	-0.79	-1.07	-0.51	0.00	0.00	
ENSG00000007516	8938	BAIAP3	protein_coding	HGNC Symbol	16	BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]	-0.32	-0.58	-0.06	0.02	0.10	0.49	0.17	0.81	0.00	0.01	-1.20	-1.54	-0.86	0.00	0.00	-0.38	-0.62	-0.15	0.00	0.00	
ENSG00000007520	115939	TSR3	protein_coding	HGNC Symbol	2	"TSR3, acp transferase ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]"	-0.09	-0.28	0.11	0.37	0.62	-0.22	-0.41	-0.02	0.03	0.07	0.17	-0.05	0.39	0.13	0.18	0.04	-0.12	0.21	0.61	0.66	
ENSG00000007541	9091	PIGQ	protein_coding	HGNC Symbol	25	phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]	0.17	-0.12	0.47	0.23	0.49	-0.34	-0.61	-0.06	0.02	0.04	1.31	0.99	1.63	0.00	0.00	0.80	0.56	1.03	0.00	0.00	
ENSG00000007545	57585	CRAMP1	protein_coding	HGNC Symbol	8	cramped chromatin regulator homolog 1 [Source:HGNC Symbol;Acc:HGNC:14122]	-0.03	-0.28	0.22	0.80	0.92	0.06	-0.19	0.30	0.63	0.73	0.13	-0.15	0.41	0.34	0.41	0.22	0.02	0.43	0.03	0.05	
ENSG00000007866	7005	TEAD3	protein_coding	HGNC Symbol	4	TEA domain transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11716]	-0.42	-0.61	-0.23	0.00	0.00	0.18	-0.02	0.38	0.08	0.15	-0.67	-0.89	-0.45	0.00	0.00	-0.07	-0.23	0.10	0.40	0.46	
ENSG00000007923	55735	DNAJC11	protein_coding	HGNC Symbol	11	DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]	-0.08	-0.31	0.14	0.44	0.69	0.28	0.05	0.51	0.02	0.05	-0.39	-0.65	-0.13	0.00	0.01	-0.02	-0.21	0.16	0.79	0.82	
